AWAY TEAM,HOME TEAM,Location / Weather,Date
Atlanta Falcons,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",22-Oct
Buffalo Bills,New England Patriots,"Gillette Stadium, Foxboro, MA",22-Oct
Cleveland Browns,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",22-Oct
Detroit Lions,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",22-Oct
Pittsburgh Steelers,Los Angeles Rams,"SoFi Stadium, Inglewood, CA",22-Oct
Green Bay Packers,Denver Broncos,"Empower Field at Mile High, Denver, CO",22-Oct
Las Vegas Raiders,Chicago Bears,"Soldier Field, Chicago, IL",22-Oct
Los Angeles Chargers,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",22-Oct
Miami Dolphins,Philadelphia Eagles,"Lincoln Financial Field, Philadelphia, PA",22-Oct
Washington Commanders,New York Giants,"MetLife Stadium, East Rutherford, NJ",22-Oct
San Francisco 49ers,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",23-Oct
Tampa Bay Buccaneers,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",26-Oct
Atlanta Falcons,Tennessee Titans,"Nissan Stadium, Nashville, TN",29-Oct
Baltimore Ravens,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",29-Oct
Cincinnati Bengals,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",29-Oct
Cleveland Browns,Seattle Seahawks,"Lumen Field, Seattle, WA",29-Oct
Houston Texans,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",29-Oct
Jacksonville Jaguars,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",29-Oct
Kansas City Chiefs,Denver Broncos,"Empower Field at Mile High, Denver, CO",29-Oct
Chicago Bears,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",29-Oct
Los Angeles Rams,Dallas Cowboys,"AT&T Stadium, Arlington, TX",29-Oct
Minnesota Vikings,Green Bay Packers,"Lambeau Field, Green Bay, WI",29-Oct
New England Patriots,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",29-Oct
New Orleans Saints,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",29-Oct
New York Jets,New York Giants,"MetLife Stadium, East Rutherford, NJ",29-Oct
Philadelphia Eagles,Washington Commanders,"FedExField, Landover, MD",29-Oct
Las Vegas Raiders,Detroit Lions,"Ford Field, Detroit, MI",30-Oct
Tennessee Titans,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",2-Nov
Arizona Cardinals,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",5-Nov
Buffalo Bills,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",5-Nov
Chicago Bears,New Orleans Saints,"Caesars Superdome, New Orleans, LA",5-Nov
Dallas Cowboys,Philadelphia Eagles,"Lincoln Financial Field, Philadelphia, PA",5-Nov
Indianapolis Colts,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",5-Nov
Los Angeles Rams,Green Bay Packers,"Lambeau Field, Green Bay, WI",5-Nov
Miami Dolphins,Kansas City Chiefs,"Frankfurt Stadium, Frankfurt",5-Nov
Minnesota Vikings,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",5-Nov
New York Giants,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",5-Nov
Seattle Seahawks,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",5-Nov
Tampa Bay Buccaneers,Houston Texans,"NRG Stadium, Houston, TX",5-Nov
Washington Commanders,New England Patriots,"Gillette Stadium, Foxboro, MA",5-Nov
Los Angeles Chargers,New York Jets,"MetLife Stadium, East Rutherford, NJ",6-Nov
Carolina Panthers,Chicago Bears,"Soldier Field, Chicago, IL",9-Nov
Atlanta Falcons,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",12-Nov
Cleveland Browns,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",12-Nov
Green Bay Packers,Pittsburgh Steelers,"Acrisure Stadium, Pittsburgh, PA",12-Nov
Houston Texans,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",12-Nov
Indianapolis Colts,New England Patriots,"Frankfurt Stadium, Frankfurt",12-Nov
Detroit Lions,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",12-Nov
New Orleans Saints,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",12-Nov
New York Giants,Dallas Cowboys,"AT&T Stadium, Arlington, TX",12-Nov
New York Jets,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",12-Nov
San Francisco 49ers,Jacksonville Jaguars,"TIAA Bank Field, Jacksonville, FL",12-Nov
Tennessee Titans,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",12-Nov
Washington Commanders,Seattle Seahawks,"Lumen Field, Seattle, WA",12-Nov
